ts,pid,rss_kb,comm
15:32:04,91277,37168,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:06,91277,37168,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:06,91328,28576,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:08,91277,135776,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:08,91328,442208,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:08,91411,25392,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:32:08,91412,25424,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:32:10,91511,585008,(rust-analyzer)
15:32:23,91823,32944,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:25,91823,32960,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:27,91823,39216,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:27,92201,25936,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:32:29,91823,824640,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:29,92201,26288,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:32:31,92253,459616,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:31,92271,26272,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:32:33,92313,31408,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:35,92313,48448,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:35,92488,25600,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:32:38,92564,71952,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:38,92600,25568,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:32:40,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:42,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:44,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:46,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:32:48,92666,28400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
